stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
AAV,0.0,5.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC,0.0,18.9,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.0,28.1,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATS,0.0,13.4,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAB,0.0,12.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAX,0.0,39.8,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBS,0.0,10.3,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCC,0.0,8.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCF,0.0,30.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDB,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BED,0.0,30.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKC,0.0,6.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNA,0.0,10.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPC,0.0,9.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSC,0.0,13.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BST,0.0,16.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS,0.0,5.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTW,0.0,37.2,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVS,0.0,39.5,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BXH,0.0,26.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C69,0.0,6.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAG,0.0,9.7,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.0,46.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP,0.0,62.2,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR,0.0,12.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDN,0.0,31.5,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEO,0.0,19.2,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CET,0.0,7.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIA,0.0,9.9,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJC,0.0,25.8,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKV,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLH,0.0,21.8,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLM,0.0,77.4,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMC,0.0,7.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMS,0.0,14.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC,0.0,19.2,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSC,0.0,29.5,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTB,0.0,21.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTC,0.0,1.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTP,0.0,5.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTT,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVN,0.0,3.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CX8,0.0,9.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D11,0.0,11.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAD,0.0,18.8,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAE,0.0,15.9,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC2,0.0,8.5,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDG,0.0,4.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHP,0.0,10.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHT,0.0,34.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIH,0.0,19.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DL1,0.0,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNC,0.0,51.5,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNP,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP3,0.0,61.8,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS3,0.0,5.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DST,0.0,3.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTC,0.0,4.2,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTD,0.0,27.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTG,0.0,38.6,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTK,0.0,12.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVG,0.0,2.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVM,0.0,12.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXP,0.0,12.9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECI,0.0,24.5,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EID,0.0,23.7,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVS,0.0,7.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FID,0.0,2.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDW,0.0,24.5,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIC,0.0,14.9,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GKM,0.0,34.8,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLT,0.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMA,0.0,48.8,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMX,0.0,19.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAD,0.0,15.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAT,0.0,41.7,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBS,0.0,8.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC,0.0,10.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCT,0.0,9.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDA,0.0,4.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEV,0.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGM,0.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHC,0.0,83.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJS,0.0,33.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKT,0.0,4.2,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLC,0.0,13.5,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLD,0.0,25.9,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMH,0.0,13.8,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR,0.0,25.4,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOM,0.0,4.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTC,0.0,23.2,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTP,0.0,13.6,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUT,0.0,17.5,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVT,0.0,68.3,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,0.0,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDC,0.0,63.5,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDJ,0.0,5.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDV,0.0,37.7,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INC,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INN,0.0,51.0,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPA,0.0,14.3,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITQ,0.0,3.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVS,0.0,11.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDM,0.0,19.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KKC,0.0,5.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMT,0.0,9.7,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSD,0.0,3.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSF,0.0,40.4,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSQ,0.0,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KST,0.0,14.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSV,0.0,32.5,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KTS,0.0,41.9,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KTT,0.0,3.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L14,0.0,38.8,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L18,0.0,39.5,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L40,0.0,21.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,0.0,1.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L62,0.0,1.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS,0.0,22.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBE,0.0,26.5,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCD,0.0,21.7,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDP,0.0,23.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHC,0.0,52.9,58.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,0.0,3.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,0.0,14.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAS,0.0,30.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBG,0.0,4.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBS,0.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCC,0.0,12.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCF,0.0,11.1,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCO,0.0,23.2,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDC,0.0,11.6,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED,0.0,27.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEL,0.0,6.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHL,0.0,3.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,0.0,9.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MST,0.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MVB,0.0,21.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAG,0.0,11.7,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAP,0.0,9.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBC,0.0,12.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBP,0.0,13.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBW,0.0,26.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDN,0.0,10.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDX,0.0,6.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NET,0.0,103.5,113.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFC,0.0,14.8,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHC,0.0,30.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRC,0.0,4.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSH,0.0,6.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,0.0,9.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTH,0.0,59.8,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTP,0.0,42.7,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVB,0.0,9.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCH,0.0,6.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONE,0.0,6.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBP,0.0,11.7,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCE,0.0,19.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCG,0.0,6.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCH,0.0,11.4,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCT,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDB,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEN,0.0,7.2,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGN,0.0,6.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGS,0.0,34.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGT,0.0,3.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHN,0.0,83.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIA,0.0,26.8,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIC,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJC,0.0,28.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLC,0.0,28.6,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMB,0.0,10.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMC,0.0,80.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMP,0.0,13.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMS,0.0,32.5,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POT,0.0,19.7,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPE,0.0,13.4,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP,0.0,16.7,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPS,0.0,10.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPT,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPY,0.0,9.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRC,0.0,21.7,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRE,0.0,18.8,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSC,0.0,11.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSD,0.0,13.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSE,0.0,10.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSI,0.0,8.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSW,0.0,7.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTD,0.0,10.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTI,0.0,31.2,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTS,0.0,7.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV2,0.0,2.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVB,0.0,30.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVC,0.0,15.7,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVG,0.0,8.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVI,0.0,50.9,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVS,0.0,45.6,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QHD,0.0,37.9,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QST,0.0,20.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QTC,0.0,14.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,0.0,12.4,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,0.0,46.9,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S99,0.0,12.5,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAF,0.0,49.9,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCG,0.0,65.2,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCI,0.0,13.5,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD5,0.0,8.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD6,0.0,3.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD9,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDA,0.0,5.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDC,0.0,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDG,0.0,17.9,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,29.5,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDU,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEB,0.0,47.2,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SED,0.0,21.6,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFN,0.0,21.7,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGC,0.0,81.5,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGD,0.0,9.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGH,0.0,26.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHE,0.0,9.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,0.0,6.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHS,0.0,19.4,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJE,0.0,20.7,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLS,0.0,161.8,177.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMN,0.0,12.4,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMT,0.0,6.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPC,0.0,8.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPI,0.0,2.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRA,0.0,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSM,0.0,6.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STC,0.0,18.3,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STP,0.0,10.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,0.0,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZB,0.0,42.8,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA9,0.0,14.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAR,0.0,5.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX,0.0,22.3,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC6,0.0,10.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDN,0.0,11.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDT,0.0,7.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TET,0.0,28.6,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFC,0.0,12.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THB,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THD,0.0,35.6,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THT,0.0,13.5,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIG,0.0,14.7,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJC,0.0,16.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKG,0.0,5.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKU,0.0,14.9,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMB,0.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,0.0,9.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMX,0.0,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNG,0.0,25.2,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOT,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPH,0.0,15.4,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPP,0.0,10.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSB,0.0,49.6,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTC,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTH,0.0,4.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTL,0.0,8.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTT,0.0,34.1,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TV3,0.0,12.7,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TV4,0.0,13.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVC,0.0,9.6,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVD,0.0,13.9,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXM,0.0,5.9,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI,0.0,8.8,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V12,0.0,12.2,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
